9/12/2022 16:28:58 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 16:28:59 | MSG | Conectado de la DB 
9/12/2022 16:31:38 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 16:31:39 | MSG | Conectado de la DB 
9/12/2022 16:34:28 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 16:34:28 | MSG | Conectado de la DB 
9/12/2022 17:09:22 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 17:09:23 | MSG | Conectado de la DB 
9/12/2022 17:18:46 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 17:18:47 | MSG | Conectado de la DB 
9/12/2022 17:20:05 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 17:20:06 | MSG | Conectado de la DB 
9/12/2022 20:30:48 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 20:30:48 | MSG | Conectado de la DB 
9/12/2022 20:32:03 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 20:32:03 | MSG | Conectado de la DB 
9/12/2022 20:33:50 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 20:33:50 | MSG | Conectado de la DB 
9/12/2022 20:34:59 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 20:35:00 | MSG | Conectado de la DB 
9/12/2022 20:35:08 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 20:35:09 | MSG | Conectado de la DB 
9/12/2022 20:37:43 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 20:37:44 | MSG | Conectado de la DB 
9/12/2022 21:02:14 | MSG | Servidor levantado por el puerto -> 3000 
9/12/2022 21:02:16 | MSG | Conectado de la DB 
10/12/2022 20:50:37 | MSG | Servidor levantado por el puerto -> 3000 
10/12/2022 20:50:38 | MSG | Conectado de la DB 
10/12/2022 20:51:35 | MSG | Servidor levantado por el puerto -> 3000 
10/12/2022 20:51:36 | MSG | Conectado de la DB 
